date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2010-12-31,12.89229514430164,1.114155627134243,1.2877395232902322
2011-01-31,13.188323432943461,1.1015572400765308,1.3069792802617228
2011-02-28,13.4138261754482,1.1044004746797131,1.342966194111233
2011-03-31,13.220241939217644,1.1104986558814276,1.3383704626888928
2011-04-30,14.180953924363283,1.1316364340897547,1.3900140208755263
2011-05-31,14.325104791292448,1.131636434089755,1.354961832061069
2011-06-30,14.193685138728068,1.1194400716863258,1.331282131173081
2011-07-31,14.677196711935602,1.1271657261873074,1.3082255803084601
2011-08-31,15.708833711471286,1.119846940011143,1.209767876616296
2011-09-30,15.120624520796627,1.095052190550001,1.093005140987693
2011-10-31,14.648620002129157,1.1226950182848587,1.208949992210625
2011-11-30,14.732409070936377,1.1137536024799615,1.170158903255959
2011-12-31,14.78134312275559,1.1157976314451101,1.166497896868671
2012-01-31,15.015577506973502,1.134750914242815,1.2332528431219814
2012-02-29,15.401775507872555,1.1495822334164851,1.2927636703536374
2012-03-31,14.919551034054896,1.142578285825001,1.298099392428727
2012-04-30,15.110272225157523,1.1392845898622004,1.2800669886275118
2012-05-31,15.924410359425963,1.124860139013347,1.1605390247702132
2012-06-30,15.629275224046166,1.133104066261415,1.2155709612089103
2012-07-31,18.14301456399723,1.1471119614443843,1.2307991899049686
2012-08-31,18.17583470338123,1.1549393330265696,1.2546346782988
2012-09-30,18.09838966546901,1.1602964326366538,1.291400529677519
2012-10-31,17.42006639928723,1.161943280618054,1.281624863685932
2012-11-30,17.531511775470953,1.1640066842653383,1.2955288985823334
2012-12-31,18.13996446961384,1.1586302099731198,1.3232201277457551
2013-01-31,17.852504185026703,1.1652951006272578,1.3830035831126344
2013-02-28,18.933138215078305,1.164878544961374,1.3803941423897799
2013-03-31,19.383177017102934,1.1736262139449296,1.402321233837046
2013-04-30,20.05853688574633,1.1848780605943208,1.438775510204082
2013-05-31,18.461461471310603,1.1857111719260887,1.4300903567533871
2013-06-30,17.6791333023852,1.1527984306507504,1.3857688113413296
2013-07-31,17.797461851896255,1.1757138359448827,1.450732201277457
2013-08-31,17.054890596512408,1.163628877963724,1.4175884094095652
2013-09-30,16.512587887715537,1.1902932842508092,1.4880433089266243
2013-10-31,16.405165462975905,1.2077934658884542,1.5466194111232283
2013-11-30,16.91903589907872,1.2157080235402427,1.565859168094718
2013-12-31,16.757532262233774,1.2222518224310424,1.5911746377940486
2014-01-31,18.327344943229363,1.2129713496887986,1.5264059822402236
2014-02-28,19.548704632420275,1.2382843718970282,1.597328244274809
2014-03-31,20.40735302520335,1.232801336853072,1.6007945162797943
2014-04-30,20.881027094806754,1.2357511322079922,1.6127512073531705
2014-05-31,22.522008390302098,1.2534741226901795,1.6417276834397887
2014-06-30,24.067019181411442,1.2652878351214594,1.6698473282442763
2014-07-31,25.62888585401974,1.248833886319057,1.6476086617853258
2014-08-31,28.178871701154694,1.272456467511084,1.6807524536532172
2014-09-30,29.060852956550885,1.2517836816739767,1.6235005452562712
2014-10-31,30.717798461808297,1.2564287617156322,1.6336267331360033
2014-11-30,33.92661667309539,1.2716136688382496,1.6584358934413463
2014-12-31,35.20398660635216,1.2565062604441688,1.624552110920705
2015-01-31,36.81860429221197,1.2398343464677577,1.59810718180402
2015-02-28,37.7706589267214,1.2821583395897456,1.6843355662875854
2015-03-31,39.36373074335737,1.2800222808844584,1.654307524536533
2015-04-30,38.865213617062096,1.2825845825966964,1.699252219971959
2015-05-31,39.34622899336303,1.2821583395897456,1.6922807290855286
2015-06-30,38.21802598903257,1.2646290959288988,1.6494391649789701
2015-07-31,40.73922141093394,1.2642028529219482,1.662174793581557
2015-08-31,40.085416182801815,1.2428277348574794,1.5451394298177308
2015-09-30,42.81677074565637,1.2312852679760766,1.4864075401152854
2015-10-31,44.50219727008601,1.241970405173045,1.6016902944383886
2015-11-30,49.022151256931465,1.2355573853866502,1.5859168094718834
2015-12-31,47.321833353463695,1.2226247850621246,1.5553824583268454
2016-01-31,51.74256168229212,1.2054442856796928,1.4605857610219688
2016-02-29,54.99746094822196,1.2097406214429343,1.4474996105312383
2016-03-31,53.40991716686832,1.2380906250756878,1.5510983019161892
2016-04-30,53.32259807424478,1.248402799641574,1.5708833151581276
2016-05-31,51.95122482116062,1.2441064638783326,1.5678844056706687
2016-06-30,53.9126704885883,1.2526991354048156,1.5551098301916222
2016-07-31,57.0649084015621,1.2625802232932177,1.6205405826452752
2016-08-31,55.05861425037385,1.2591412172144114,1.6225658202212212
2016-09-30,55.871231419681685,1.2587101305369273,1.629654151737033
2016-10-31,55.78991064566635,1.2415296311544952,1.600755569403336
2016-11-30,53.50690220136984,1.2247753747790135,1.610180713506779
2016-12-31,53.8301596887846,1.2316485432660924,1.6429350366100652
2017-01-31,53.80094973025603,1.2342253759899302,1.6869060601339791
2017-02-28,55.277964600253185,1.2496912160034923,1.7311886586695773
2017-03-31,56.805521447520775,1.249691216003492,1.748208443682819
2017-04-30,59.31199653167338,1.2526991354048147,1.7727449758529394
2017-05-31,59.108341924912374,1.2582838875299756,1.8063171833618978
